"","Name","AtBat","Hits","HmRun","RBI","Walks","League","Salary"
"58","-Charlie Moore",235,61,3,39,21,"A",600
"59","-Craig Reynolds",313,78,6,41,12,"N",416.667
"60","-Cal Ripken",627,177,25,81,70,"A",1350
"61","-Cory Snyder",416,113,24,69,16,"A",90
"62","-Chris Speier",155,44,6,23,15,"N",275
"63","-Curt Wilkerson",236,56,0,15,11,"A",230
"64","-Dave Anderson",216,53,1,15,22,"N",225
"65","-Doug Baker",24,3,0,0,2,"A",600
"66","-Don Baylor",585,139,31,94,62,"A",950
"67","-Dann Bilardello",191,37,4,17,14,"N",600
"68","-Daryl Boston",199,53,5,22,21,"A",75
"69","-Darnell Coles",521,142,20,86,45,"A",105
"70","-Dave Collins",419,113,1,27,44,"A",600
"71","-Dave Concepcion",311,81,3,30,26,"N",320
"72","-Darren Daulton",138,31,8,21,38,"N",600
"73","-Doug DeCinces",512,131,26,96,52,"A",850
"74","-Darrell Evans",507,122,29,85,91,"A",535
"75","-Dwight Evans",529,137,26,97,97,"A",933.333
"76","-Damaso Garcia",424,119,6,46,13,"A",850
"77","-Dan Gladden",351,97,4,29,39,"N",210
"78","-Danny Heep",195,55,5,33,30,"N",600
"79","-Dave Henderson",388,103,15,47,39,"A",325
"80","-Donnie Hill",339,96,4,29,23,"A",275
"81","-Dave Kingman",561,118,35,94,33,"A",600
"82","-Davey Lopes",255,70,7,35,43,"N",450
"83","-Don Mattingly",677,238,31,113,53,"A",1975
"84","-Darryl Motley",227,46,7,20,12,"A",600
"85","-Dale Murphy",614,163,29,83,75,"N",1900
"86","-Dwayne Murphy",329,83,9,39,56,"A",600
"87","-Dave Parker",637,174,31,116,56,"N",1041.667
"88","-Dan Pasqua",280,82,16,45,47,"A",110
"89","-Darrell Porter",155,41,12,29,22,"A",260
"90","-Dick Schofield",458,114,13,57,48,"A",475
"91","-Don Slaught",314,83,13,46,16,"A",431.5
"92","-Darryl Strawberry",475,123,27,93,72,"N",1220
"93","-Dale Sveum",317,78,7,35,32,"A",70
"94","-Danny Tartabull",511,138,25,96,61,"A",145
"95","-Dickie Thon",278,69,3,21,29,"N",600
"96","-Denny Walling",382,119,13,58,36,"N",595
"97","-Dave Winfield",565,148,24,104,77,"A",1861.46
"98","-Enos Cabell",277,71,2,29,14,"N",600
"99","-Eric Davis",415,115,27,71,68,"N",300
"100","-Eddie Milner",424,110,15,47,36,"N",490
"101","-Eddie Murray",495,151,17,84,78,"A",2460
"102","-Ernest Riles",524,132,9,47,54,"A",600
"103","-Ed Romero",233,49,2,23,18,"A",375
"104","-Ernie Whitt",395,106,16,56,35,"A",600
"105","-Fred Lynn",397,114,23,67,53,"A",600
"106","-Floyd Rayford",210,37,8,19,15,"A",600
"107","-Franklin Stubbs",420,95,23,58,37,"N",600
"108","-Frank White",566,154,22,84,43,"A",750
"109","-George Bell",641,198,31,108,41,"A",1175
"110","-Glenn Braggs",215,51,4,18,11,"A",70
"111","-George Brett",441,128,16,73,80,"A",1500
"112","-Greg Brock",325,76,16,52,37,"N",385
"113","-Gary Carter",490,125,24,105,62,"N",1925.571
"114","-Glenn Davis",574,152,31,101,64,"N",215
"115","-George Foster",284,64,14,42,24,"N",600
"116","-Gary Gaetti",596,171,34,108,52,"A",900
"117","-Greg Gagne",472,118,12,54,30,"A",155
"118","-George Hendrick",283,77,14,47,26,"A",700
"119","-Glenn Hubbard",408,94,4,36,66,"N",535
"120","-Garth Iorg",327,85,3,44,20,"A",362.5
"121","-Gary Matthews",370,96,21,46,60,"N",733.333
"122","-Graig Nettles",354,77,16,55,41,"N",200
"123","-Gary Pettis",539,139,5,58,69,"A",400
"124","-Gary Redus",340,84,11,33,47,"N",400
"125","-Garry Templeton",510,126,2,44,35,"N",737.5
"126","-Gorman Thomas",315,59,16,36,58,"A",600
"127","-Greg Walker",282,78,13,51,29,"A",500
"128","-Gary Ward",380,120,5,51,31,"A",600
"129","-Glenn Wilson",584,158,15,84,42,"N",662.5
"130","-Harold Baines",570,169,21,88,38,"A",950
"131","-Hubie Brooks",306,104,14,58,25,"N",750
"132","-Howard Johnson",220,54,10,39,31,"N",297.5
"133","-Hal McRae",278,70,7,37,18,"A",325
"134","-Harold Reynolds",445,99,1,24,29,"A",87.5
"135","-Harry Spilman",143,39,5,30,15,"N",175
"136","-Herm Winningham",185,40,4,11,18,"N",90
"137","-Jesse Barfield",589,170,40,108,69,"A",1237.5
"138","-Juan Beniquez",343,103,6,36,40,"A",430
"139","-Juan Bonilla",284,69,1,18,25,"A",600
"140","-John Cangelosi",438,103,2,32,71,"A",100
"141","-Jose Canseco",600,144,33,117,65,"A",165
"142","-Joe Carter",663,200,29,121,32,"A",250
"143","-Jack Clark",232,55,9,23,45,"N",1300
"144","-Jose Cruz",479,133,10,72,55,"N",773.333
"145","-Julio Cruz",209,45,0,19,42,"A",600
"146","-Jody Davis",528,132,21,74,41,"N",1008.333
"147","-Jim Dwyer",160,39,8,31,22,"A",275
"148","-Julio Franco",599,183,10,74,32,"A",775
"149","-Jim Gantner",497,136,7,38,26,"A",850
"150","-Johnny Grubb",210,70,13,51,28,"A",365
"151","-Jerry Hairston",225,61,5,26,26,"A",600
"152","-Jack Howell",151,41,4,21,19,"A",95
"153","-John Kruk",278,86,4,38,45,"N",110
"154","-Jeffrey Leonard",341,95,6,42,20,"N",100
"155","-Jim Morrison",537,147,23,88,47,"N",277.5
"156","-John Moses",399,102,3,34,34,"A",80
"157","-Jerry Mumphrey",309,94,5,32,26,"N",600
"158","-Joe Orsulak",401,100,2,19,28,"N",600
"159","-Jorge Orta",336,93,9,46,23,"A",600
"160","-Jim Presley",616,163,27,107,32,"A",200
"161","-Jamie Quirk",219,47,8,26,17,"A",600
"162","-Johnny Ray",579,174,7,78,58,"N",657
"163","-Jeff Reed",165,39,2,9,16,"A",75
"164","-Jim Rice",618,200,20,110,62,"A",2412.5
"165","-Jerry Royster",257,66,5,26,32,"N",250
"166","-John Russell",315,76,13,60,25,"N",155
"167","-Juan Samuel",591,157,16,78,26,"N",640
"168","-John Shelby",404,92,11,49,18,"A",300
"169","-Joel Skinner",315,73,5,37,16,"A",110
"170","-Jeff Stone",249,69,6,19,20,"N",600
"171","-Jim Sundberg",429,91,12,42,57,"A",825
"172","-Jim Traber",212,54,13,44,18,"A",600
"173","-Jose Uribe",453,101,3,43,61,"N",195
"174","-Jerry Willard",161,43,4,26,22,"A",600
"175","-Joel Youngblood",184,47,5,28,18,"N",450
"176","-Kevin Bass",591,184,20,79,38,"N",630
"177","-Kal Daniels",181,58,6,23,22,"N",86.5
"178","-Kirk Gibson",441,118,28,86,68,"A",1300
"179","-Ken Griffey",490,150,21,58,35,"A",1000
"180","-Keith Hernandez",551,171,13,83,94,"N",1800
"181","-Kent Hrbek",550,147,29,91,71,"A",1310
"182","-Ken Landreaux",283,74,4,29,22,"N",737.5
"183","-Kevin McReynolds",560,161,26,96,66,"N",625
"184","-Kevin Mitchell",328,91,12,43,33,"N",125
"185","-Keith Moreland",586,159,12,79,53,"N",1043.333
"186","-Ken Oberkfell",503,136,5,48,83,"N",725
"187","-Ken Phelps",344,85,24,64,88,"A",300
"188","-Kirby Puckett",680,223,31,96,34,"A",365
"189","-Kurt Stillwell",279,64,0,26,30,"N",75
"190","-Leon Durham",484,127,20,65,67,"N",1183.333
"191","-Len Dykstra",431,127,8,45,58,"N",202.5
"192","-Larry Herndon",283,70,8,37,27,"A",225
"193","-Lee Lacy",491,141,11,47,37,"A",525
"194","-Len Matuszek",199,52,9,28,21,"N",265
"195","-Lloyd Moseby",589,149,21,86,64,"A",787.5
"196","-Lance Parrish",327,84,22,62,38,"A",800
"197","-Larry Parrish",464,128,28,94,52,"A",587.5
"198","-Luis Rivera",166,34,0,13,17,"N",600
"199","-Larry Sheets",338,92,18,60,21,"A",145
"200","-Lonnie Smith",508,146,8,44,46,"A",600
"201","-Lou Whitaker",584,157,20,73,63,"A",420
"202","-Mike Aldrete",216,54,2,25,33,"N",75
"203","-Marty Barrett",625,179,4,60,65,"A",575
"204","-Mike Brown",243,53,4,26,27,"N",600
"205","-Mike Davis",489,131,19,55,34,"A",780
"206","-Mike Diaz",209,56,12,36,19,"N",90
"207","-Mariano Duncan",407,93,8,30,30,"N",150
"208","-Mike Easler",490,148,14,78,49,"A",700
"209","-Mike Fitzgerald",209,59,6,37,27,"N",600
"210","-Mel Hall",442,131,18,77,33,"A",550
"211","-Mickey Hatcher",317,88,3,32,19,"A",600
"212","-Mike Heath",288,65,8,36,27,"N",650
"213","-Mike Kingery",209,54,3,14,12,"A",68
"214","-Mike LaValliere",303,71,3,30,36,"N",100
"215","-Mike Marshall",330,77,19,53,27,"N",670
"216","-Mike Pagliarulo",504,120,28,71,54,"A",175
"217","-Mark Salas",258,60,8,33,18,"A",137
"218","-Mike Schmidt",20,1,0,0,0,"N",2127.333
"219","-Mike Scioscia",374,94,5,26,62,"N",875
"220","-Mickey Tettleton",211,43,10,35,39,"A",120
"221","-Milt Thompson",299,75,6,23,26,"N",140
"222","-Mitch Webster",576,167,8,49,57,"N",210
"223","-Mookie Wilson",381,110,9,45,32,"N",800
"224","-Marvell Wynne",288,76,7,37,15,"N",240
"225","-Mike Young",369,93,9,42,49,"A",350
"226","-Nick Esasky",330,76,12,41,47,"N",600
"227","-Ozzie Guillen",547,137,2,47,12,"A",175
"228","-Oddibe McDowell",572,152,18,49,65,"A",200
"229","-Omar Moreno",359,84,4,27,21,"N",600
"230","-Ozzie Smith",514,144,0,54,79,"N",1940
"231","-Ozzie Virgil",359,80,15,48,63,"N",700
"232","-Phil Bradley",526,163,12,50,77,"A",750
"233","-Phil Garner",313,83,9,41,30,"N",450
"234","-Pete Incaviglia",540,135,30,88,55,"A",172
"235","-Paul Molitor",437,123,9,55,40,"A",1260
"236","-Pete O'Brien",551,160,23,90,87,"A",600
"237","-Pete Rose",237,52,0,25,30,"N",750
"238","-Pat Sheridan",236,56,6,19,21,"A",190
"239","-Pat Tabler",473,154,6,48,29,"A",580
"240","-Rafael Belliard",309,72,0,31,26,"N",130
"241","-Rick Burleson",271,77,5,29,33,"A",450
"242","-Randy Bush",357,96,7,45,39,"A",300
"243","-Rick Cerone",216,56,4,18,15,"A",250
"244","-Ron Cey",256,70,13,36,44,"N",1050
"245","-Rob Deer",466,108,33,86,72,"A",215
"246","-Rick Dempsey",327,68,13,29,45,"A",400
"247","-Rich Gedman",462,119,16,65,37,"A",600
"248","-Ron Hassey",341,110,9,49,46,"A",560
"249","-Rickey Henderson",608,160,28,74,89,"A",1670
"250","-Reggie Jackson",419,101,18,58,92,"A",487.5
"251","-Ricky Jones",33,6,0,4,7,"A",600
"252","-Ron Kittle",376,82,21,60,35,"A",425
"253","-Ray Knight",486,145,11,76,40,"N",500
"254","-Randy Kutcher",186,44,7,16,11,"N",600
"255","-Rudy Law",307,80,1,36,29,"A",600
"256","-Rick Leach",246,76,5,39,13,"A",250
"257","-Rick Manning",205,52,8,27,17,"A",400
"258","-Rance Mulliniks",348,90,11,45,43,"A",450
"259","-Ron Oester",523,135,8,44,52,"N",750
"260","-Rey Quinones",312,68,2,22,24,"A",70
"261","-Rafael Ramirez",496,119,8,33,21,"N",875
"262","-Ronn Reynolds",126,27,3,10,5,"N",190
"263","-Ron Roenicke",275,68,5,42,61,"N",191
"264","-Ryne Sandberg",627,178,14,76,46,"N",740
"265","-Rafael Santana",394,86,1,28,36,"N",250
"266","-Rick Schu",208,57,8,25,18,"N",140
"267","-Ruben Sierra",382,101,16,55,22,"A",97.5
"268","-Roy Smalley",459,113,20,57,68,"A",740
"269","-Robby Thompson",549,149,7,47,42,"N",140
"270","-Rob Wilfong",288,63,3,33,16,"A",341.667
"271","-Reggie Williams",303,84,4,32,23,"N",600
"272","-Robin Yount",522,163,9,46,62,"A",1000
"273","-Steve Balboni",512,117,29,88,43,"A",100
"274","-Scott Bradley",220,66,5,28,13,"A",90
"275","-Sid Bream",522,140,16,77,60,"N",200
"276","-Steve Buechele",461,112,18,54,35,"A",135
"277","-Shawon Dunston",581,145,17,68,21,"N",155
"278","-Scott Fletcher",530,159,3,50,47,"A",475
"279","-Steve Garvey",557,142,21,81,23,"N",1450
"280","-Steve Jeltz",439,96,0,36,65,"N",150
"281","-Steve Lombardozzi",453,103,8,33,52,"A",105
"282","-Spike Owen",528,122,1,45,51,"A",350
"283","-Steve Sax",633,210,6,56,59,"N",90
"284","-Tony Armas",16,2,0,0,0,"A",600
"285","-Tony Bernazard",562,169,17,73,53,"A",530
"286","-Tom Brookens",281,76,3,25,20,"A",341.667
"287","-Tom Brunansky",593,152,23,75,53,"A",940
"288","-Tony Fernandez",687,213,10,65,27,"A",350
"289","-Tim Flannery",368,103,3,28,54,"N",326.667
"290","-Tom Foley",263,70,1,23,30,"N",250
"291","-Tony Gwynn",642,211,14,59,52,"N",740
"292","-Terry Harper",265,68,8,30,29,"N",425
"293","-Toby Harrah",289,63,7,41,44,"A",600
"294","-Tommy Herr",559,141,2,61,73,"N",925
"295","-Tim Hulett",520,120,17,44,21,"A",185
"296","-Terry Kennedy",19,4,1,3,1,"N",920
"297","-Tito Landrum",205,43,2,17,20,"N",286.667
"298","-Tim Laudner",193,47,10,29,24,"A",245
"299","-Tom O'Malley",181,46,1,18,17,"A",600
"300","-Tom Paciorek",213,61,4,22,3,"A",235
"301","-Tony Pena",510,147,10,52,53,"N",1150
"302","-Terry Pendleton",578,138,1,59,34,"N",160
"303","-Tony Perez",200,51,2,29,25,"N",600
"304","-Tony Phillips",441,113,5,52,76,"A",425
"305","-Terry Puhl",172,42,3,14,15,"N",900
"306","-Tim Raines",580,194,9,62,78,"N",600
"307","-Ted Simmons",127,32,4,25,12,"N",500
"308","-Tim Teufel",279,69,4,31,32,"N",277.5
"309","-Tim Wallach",480,112,18,71,44,"N",750
"310","-Vince Coleman",600,139,0,29,60,"N",160
"311","-Von Hayes",610,186,19,98,74,"N",1300
"312","-Vance Law",360,81,5,44,37,"N",525
"313","-Wally Backman",387,124,1,27,36,"N",550
"314","-Wade Boggs",580,207,8,71,105,"A",1600
"315","-Will Clark",408,117,11,41,34,"N",120
"316","-Wally Joyner",593,172,22,100,57,"A",165
"317","-Wayne Krenchicki",221,53,2,23,22,"N",600
"318","-Willie McGee",497,127,7,48,37,"N",700
"319","-Willie Randolph",492,136,5,50,94,"A",875
"320","-Wayne Tolleson",475,126,3,43,52,"A",385
"321","-Willie Upshaw",573,144,9,60,78,"A",960
"322","-Willie Wilson",631,170,9,44,31,"A",1000
