"","ID","CAtBat","CHits","CHmRun","CRBI","CWalks"
"193","-Lee Lacy",4291,1240,84,430,340
"194","-Len Matuszek",805,191,30,119,87
"195","-Lloyd Moseby",3558,928,102,471,351
"196","-Lance Parrish",4273,1123,212,700,334
"197","-Larry Parrish",5829,1552,210,840,452
"198","-Luis Rivera",166,34,0,13,17
"199","-Larry Sheets",682,185,36,112,50
"200","-Lonnie Smith",3148,915,41,289,326
"201","-Lou Whitaker",4704,1320,93,522,576
"202","-Mike Aldrete",216,54,2,25,33
"203","-Marty Barrett",1696,476,12,163,166
"204","-Mike Brown",853,228,23,110,76
"205","-Mike Davis",2051,549,62,263,153
"206","-Mike Diaz",216,58,12,37,19
"207","-Mariano Duncan",969,230,14,69,68
"208","-Mike Easler",3400,1000,113,491,301
"209","-Mike Fitzgerald",884,209,14,106,92
"210","-Mel Hall",1416,398,47,203,136
"211","-Mickey Hatcher",2543,715,28,270,118
"212","-Mike Heath",2815,698,55,325,189
"213","-Mike Kingery",209,54,3,14,12
"214","-Mike LaValliere",344,76,3,36,45
"215","-Mike Marshall",1928,516,90,288,161
"216","-Mike Pagliarulo",1085,259,54,167,114
"217","-Mark Salas",638,170,17,75,36
"218","-Mike Schmidt",41,9,2,7,4
"219","-Mike Scioscia",1968,519,26,199,288
"220","-Mickey Tettleton",498,116,14,55,78
"221","-Milt Thompson",580,160,8,33,44
"222","-Mitch Webster",822,232,19,83,79
"223","-Mookie Wilson",3015,834,40,249,168
"224","-Marvell Wynne",1644,408,16,120,113
"225","-Mike Young",1258,323,54,177,157
"226","-Nick Esasky",1367,326,55,198,167
"227","-Ozzie Guillen",1038,271,3,80,24
"228","-Oddibe McDowell",978,249,36,91,101
"229","-Omar Moreno",4992,1257,37,386,387
"230","-Ozzie Smith",4739,1169,13,374,528
"231","-Ozzie Virgil",1493,359,61,202,175
"232","-Phil Bradley",1556,470,38,167,174
"233","-Phil Garner",5885,1543,104,714,535
"234","-Pete Incaviglia",540,135,30,88,55
"235","-Paul Molitor",4139,1203,79,390,364
"236","-Pete O'Brien",2235,602,75,328,273
"237","-Pete Rose",14053,4256,160,1314,1566
"238","-Pat Sheridan",1257,329,24,125,105
"239","-Pat Tabler",1966,566,29,252,178
"240","-Rafael Belliard",354,82,0,32,26
"241","-Rick Burleson",4933,1358,48,435,403
"242","-Randy Bush",1394,344,43,192,136
"243","-Rick Cerone",2796,665,43,304,198
"244","-Ron Cey",7058,1845,312,1128,990
"245","-Rob Deer",652,142,44,109,102
"246","-Rick Dempsey",3949,939,78,380,466
"247","-Rich Gedman",2131,583,69,288,150
"248","-Ron Hassey",2331,658,50,322,274
"249","-Rickey Henderson",4071,1182,103,417,708
"250","-Reggie Jackson",9528,2510,548,1659,1342
"251","-Ricky Jones",33,6,0,4,7
"252","-Ron Kittle",1770,408,115,299,157
"253","-Ray Knight",3967,1102,67,497,284
"254","-Randy Kutcher",186,44,7,16,11
"255","-Rudy Law",2421,656,18,198,184
"256","-Rick Leach",912,234,12,96,80
"257","-Rick Manning",5134,1323,56,445,459
"258","-Rance Mulliniks",2288,614,43,273,269
"259","-Ron Oester",3368,895,39,284,296
"260","-Rey Quinones",312,68,2,22,24
"261","-Rafael Ramirez",3358,882,36,280,165
"262","-Ronn Reynolds",239,49,3,13,14
"263","-Ron Roenicke",961,238,16,104,172
"264","-Ryne Sandberg",3146,902,74,345,242
"265","-Rafael Santana",1089,267,3,71,76
"266","-Rick Schu",653,170,17,54,62
"267","-Ruben Sierra",382,101,16,55,22
"268","-Roy Smalley",5348,1369,155,660,735
"269","-Robby Thompson",549,149,7,47,42
"270","-Rob Wilfong",2682,667,38,259,204
"271","-Reggie Williams",312,87,4,32,23
"272","-Robin Yount",7037,2019,153,827,535
"273","-Steve Balboni",1750,412,100,276,155
"274","-Scott Bradley",290,80,5,31,15
"275","-Sid Bream",730,185,22,106,86
"276","-Steve Buechele",680,160,24,75,49
"277","-Shawon Dunston",831,210,21,86,40
"278","-Scott Fletcher",1619,426,11,149,163
"279","-Steve Garvey",8759,2583,271,1299,478
"280","-Steve Jeltz",711,148,1,56,99
"281","-Steve Lombardozzi",507,123,8,39,58
"282","-Spike Owen",1716,403,12,146,155
"283","-Steve Sax",3070,872,19,230,274
"284","-Tony Armas",28,4,0,0,0
"285","-Tony Bernazard",3181,841,61,342,373
"286","-Tom Brookens",2658,657,48,300,179
"287","-Tom Brunansky",2765,686,133,384,321
"288","-Tony Fernandez",1518,448,15,137,89
"289","-Tim Flannery",1897,493,9,162,198
"290","-Tom Foley",888,220,9,82,86
"291","-Tony Gwynn",2364,770,27,230,193
"292","-Terry Harper",1337,339,32,163,128
"293","-Toby Harrah",7402,1954,195,919,1153
"294","-Tommy Herr",3162,874,16,349,359
"295","-Tim Hulett",927,227,22,80,52
"296","-Terry Kennedy",19,4,1,3,1
"297","-Tito Landrum",854,219,12,99,71
"298","-Tim Laudner",1136,256,42,139,106
"299","-Tom O'Malley",937,238,9,95,104
"300","-Tom Paciorek",4061,1145,83,491,244
"301","-Tony Pena",2872,821,63,340,174
"302","-Terry Pendleton",1399,357,7,161,87
"303","-Tony Perez",9778,2732,379,1652,925
"304","-Tony Phillips",1546,397,17,149,191
"305","-Terry Puhl",4086,1150,57,363,406
"306","-Tim Raines",3372,1028,48,314,469
"307","-Ted Simmons",8396,2402,242,1348,819
"308","-Tim Teufel",1359,355,31,148,158
"309","-Tim Wallach",3031,771,110,406,239
"310","-Vince Coleman",1236,309,1,69,110
"311","-Von Hayes",2728,753,69,366,286
"312","-Vance Law",2268,566,41,257,246
"313","-Wally Backman",1775,506,6,125,194
"314","-Wade Boggs",2778,978,32,322,417
"315","-Will Clark",408,117,11,41,34
"316","-Wally Joyner",593,172,22,100,57
"317","-Wayne Krenchicki",1063,283,15,124,106
"318","-Willie McGee",2703,806,32,311,138
"319","-Willie Randolph",5511,1511,39,451,875
"320","-Wayne Tolleson",1700,433,7,93,146
"321","-Willie Upshaw",3198,857,97,420,332
"322","-Willie Wilson",4908,1457,30,357,249
